age_low,age_high,male_low_activity,male_moderate_activity,male_high_activity,female_low_activity,female_moderate_activity,female_high_activity
0,2,1000,1000,1000,1000,1000,1000
3,3,1200,1400,1400,1000,1200,1400
4,4,1200,1400,1600,1200,1400,1400
5,5,1200,1400,1600,1200,1400,1600
6,6,1400,1600,1800,1200,1400,1600
7,7,1400,1600,1800,1200,1600,1800
8,8,1400,1600,2000,1400,1600,1800
9,9,1600,1800,2000,1400,1600,1800
10,10,1600,1800,2200,1400,1800,2000
11,11,1800,2000,2200,1600,1800,2000
12,12,1800,2200,2400,1600,2000,2200
13,13,2000,2200,2600,1600,2000,2200
14,14,2000,2400,2800,1800,2000,2400
15,15,2200,2600,3000,1800,2000,2400
16,16,2400,2800,3200,1800,2000,2400
17,17,2400,2800,3200,1800,2000,2400
18,18,2400,2800,3200,1800,2000,2400
19,20,2600,2800,3000,2000,2200,2400
21,25,2400,2800,3000,2000,2200,2400
26,30,2400,2600,3000,1800,2000,2400
31,35,2400,2600,3000,1800,2000,2200
36,40,2400,2600,2800,1800,2000,2200
41,45,2200,2600,2800,1800,2000,2200
46,50,2200,2400,2800,1800,2000,2200
51,55,2200,2400,2800,1600,1800,2200
56,60,2200,2400,2600,1600,1800,2200
61,65,2000,2400,2600,1600,1800,2000
66,70,2000,2200,2600,1600,1800,2000
71,75,2000,2200,2600,1600,1800,2000
76,1000,2000,2200,2400,1600,1800,2000